계정코드,계정명칭,차대변구분
1360700,사용권자산감가상각누계액(기계장치),차/대변 모두 가능
1360800,사용권자산(공구와기구),차/대변 모두 가능
1360900,사용권자산감가상각누계액(공구와기구),차/대변 모두 가능
1361000,사용권자산(차량운반구),차/대변 모두 가능
1361100,사용권자산감가상각누계액(차량운반구),차/대변 모두 가능
1361200,사용권자산(선박),차/대변 모두 가능
1361300,사용권자산감가상각누계액(선박),차/대변 모두 가능
1361400,사용권자산감가상각누계액(토지),차/대변 모두 가능
2100100,매입채무,차/대변 모두 가능
2100101,매입채무(외상매입금),차/대변 모두 가능
2100102,매입채무(지급어음),차/대변 모두 가능
2100103,매입채무(전자어음),차/대변 모두 가능
2100104,매입채무(관계사),차/대변 모두 가능
2100105,매입채무(직불),차/대변 모두 가능
2100200,단기차입금,차/대변 모두 가능
2100201,단기차입금(일반대출),차/대변 모두 가능
2100202,단기차입금(PF대출),차/대변 모두 가능
2100203,단기차입금(관계회사),차/대변 모두 가능
2100204,단기차입금(당좌대출),차/대변 모두 가능
2100205,단기차입금(구매자금),차/대변 모두 가능
2100206,단기차입금(기타),차/대변 모두 가능
2100207,단기차입금(금지금차입),차/대변 모두 가능
2100208,단기차입금(한도대출),차/대변 모두 가능
2100300,미지급금,차/대변 모두 가능
2100301,미지급금(급여),차/대변 모두 가능
2100302,미지급금(카드),차/대변 모두 가능
2100303,미지급금(일반),차/대변 모두 가능
2100304,미지급금(퇴직금),차/대변 모두 가능
2100305,미지급금(자동이체),차/대변 모두 가능
2100350,출하자미지급금,차/대변 모두 가능
2100351,출하자미지급금(상품대),차/대변 모두 가능
2100352,출하자미지급금(일반),차/대변 모두 가능
2100360,출하자미지급금(온라인도매시장),차/대변 모두 가능
2100400,유동성장기부채,차/대변 모두 가능
2100410,유동성장기예수보증금,차/대변 모두 가능
2100500,미지급배당금,차/대변 모두 가능
2100600,선수금,차/대변 모두 가능
2100601,용역선수금,차/대변 모두 가능
2100602,용역선수금(용역),차/대변 모두 가능
2100603,용역선수금(진행률),차/대변 모두 가능
2100604,선수금(예약(분양)),차/대변 모두 가능
2100605,선수금(공유),차/대변 모두 가능
2100606,선수금(회원),차/대변 모두 가능
2100607,선수금(예약(콘도운용)),차/대변 모두 가능
2100608,선수금(약정),차/대변 모두 가능
2100609,선수금(DP),차/대변 모두 가능
2100610,선수금(패키지),차/대변 모두 가능
2100611,선수금(트레블클럽),차/대변 모두 가능
2100612,선수금(기타),차/대변 모두 가능
2100613,선수금(모먼트클럽),차/대변 모두 가능
2100614,선수금(부대시설),차/대변 모두 가능
2100615,선수금(단체),차/대변 모두 가능
2100616,선수금(지류쿠폰),차/대변 모두 가능
2100700,선수수익,차/대변 모두 가능
2100701,선수수익(임대료),차/대변 모두 가능
2100702,선수수익(관리비),차/대변 모두 가능
2100703,선수수익(대여료),차/대변 모두 가능
2100704,선수수익(이자),차/대변 모두 가능
2100800,공사선수금,차/대변 모두 가능
2100801,공사선수금(공사),차/대변 모두 가능
2100802,공사선수금(진행율),차/대변 모두 가능
2100803,공사선수금(옵션),차/대변 모두 가능
2100900,분양선수금,차/대변 모두 가능
2100901,분양선수금(아파트),차/대변 모두 가능
2100902,분양선수금(상가),차/대변 모두 가능
2100903,분양선수금(확장),차/대변 모두 가능
2100904,분양선수금(옵션),차/대변 모두 가능
2100905,분양선수금(진행율아파트),차/대변 모두 가능
2100906,분양선수금(진행율상가),차/대변 모두 가능
2100907,분양선수금(진행율확장),차/대변 모두 가능
2100908,분양선수금(진행율옵션),차/대변 모두 가능
2100909,분양선수금(오피스),차/대변 모두 가능
2100910,분양선수금(진행율오피스),차/대변 모두 가능
2101000,예수금,차/대변 모두 가능
2101001,예수금(계약이행),차/대변 모두 가능
2101002,예수금(소득세),차/대변 모두 가능
2101003,예수금(근로소득세),차/대변 모두 가능
2101004,예수금(퇴직소득세),차/대변 모두 가능
2101005,예수금(사업소득세),차/대변 모두 가능
2101006,예수금(이자소득세),차/대변 모두 가능
2101007,예수금(배당소득세),차/대변 모두 가능
2101008,예수금(기타소득세),차/대변 모두 가능
2101009,예수금(법인세),차/대변 모두 가능
2101010,예수금(주민세),차/대변 모두 가능
2101011,예수금(근로주민세),차/대변 모두 가능
2101012,예수금(퇴직주민세),차/대변 모두 가능
2101013,예수금(사업주민세),차/대변 모두 가능
2101014,예수금(이자주민세),차/대변 모두 가능
2101015,예수금(배당주민세),차/대변 모두 가능
2101016,예수금(기타주민세),차/대변 모두 가능
2101017,예수금(기타),차/대변 모두 가능
2101018,예수금(건강보험),차/대변 모두 가능
2101019,예수금(국민연금),차/대변 모두 가능
2101020,예수금(고용보험),차/대변 모두 가능
2101021,예수금(보증보험),차/대변 모두 가능
2101022,예수금(분양대금),차/대변 모두 가능
2101023,예수금(기부금),차/대변 모두 가능
2101024,예수금(상조회비),차/대변 모두 가능
2101025,예수금(건강보험회사분),차/대변 모두 가능
2101026,예수금(국민연금회사분),차/대변 모두 가능
2101027,예수금(임차자금),차/대변 모두 가능
2101028,예수금(하자이행),차/대변 모두 가능
2101029,예수금(사학연금),차/대변 모두 가능
2101030,예수금(재산세),차/대변 모두 가능
2101031,예수금(퇴직금),차/대변 모두 가능
2101032,예수금(보통예금),차/대변 모두 가능
2101033,예수금(개소세),차/대변 모두 가능
